年度,日期,活動名稱,場次狀態,email網域,報名人次,報名人數
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@hakuhodoti.com.tw,1,1
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@unismart.com.tw,1,1
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@unistyle.com.tw,1,1
2025,2025-02-21,2/21 (五) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行,ENDED,@unisurf.com.tw,1,1
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@medialand.tw,15,13
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@mxdigi.com,5,5
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@ua.com.tw,5,5
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@pilotpr.com.tw,4,4
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@gmail.com,3,3
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@unismart.com.tw,2,2
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@9floor.co,1,1
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@mdcg.tw,1,1
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@mediand.tw,1,1
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@meshplus.com.tw,1,1
2025,2025-02-27,2/27 (四) 用耳朵來場森呼吸｜春之象：採集自然之聲小旅行 ,ENDED,@planetpr.com.tw,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@pilotpr.com.tw,7,7
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@unismart.com.tw,7,6
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@mxdigi.com,6,6
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@medialand.tw,4,4
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@unisincere.com.tw,3,3
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@grandpr.com.tw,2,2
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@hakuhodotm.com.tw,2,2
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@2008-media.com,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@ace-taipei.com,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@gmail.com,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@ky-post.com,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@meshplus.com.tw,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@mxdogi.com,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@ua.com.tw,1,1
2025,2025-03-28,3/28（五）春蛻 暗光 字茶席｜坪林,ENDED,@unisurf.com.tw,1,1
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@medialand.tw,7,7
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@ua.com.tw,7,7
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@mxdigi.com,6,6
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@ky-post.com,5,5
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@planetpr.com.tw,5,5
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@hakuhodotm.com.tw,4,4
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@unismart.com.tw,3,3
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@pilotpr.com.tw,2,2
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@unisincere.com.tw,2,2
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@ace-taipei.com,1,1
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@gmail.com,1,1
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@mdcg.tw,1,1
2025,2025-04-11,4/11（五）春蛻 暗光 字茶席｜貓空,ENDED,@meshplus.com.tw,1,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@medialand.tw,9,9
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@ky-post.com,4,4
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@mxdigi.com,4,4
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@gmail.com,3,3
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@planetpr.com.tw,3,3
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@pilotpr.com.tw,1,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@ua.com.tw,1,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@unisincere.com.tw,1,1
2025,2025-05-02,5/2（五）<加場> 春蛻 暗光 字茶席｜貓空 ,ENDED,@unismart.com.tw,1,1
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@medialand.tw,14,14
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@mxdigi.com,7,7
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@2008-media.com,6,6
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@ua.com.tw,5,5
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@gmail.com,4,4
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@hakuhodotm.com.tw,2,2
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@ky-post.com,2,2
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@meshplus.con.tw,1,1
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@planetpr.com.tw,1,1
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@unismart.com.tw,1,1
2025,2025-04-25,4/25 (五) 銅鑼躺躺｜潛入聲波之海,ENDED,@unisurf.com.tw,1,1
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@gmail.com,3,3
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@medialand.tw,2,2
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@meshplus.com.tw,2,2
2025,2025-06-13,6/13 (五) 場次一 13:30 土地精靈音樂會｜夏之象,ENDED,@mxdigi.com,1,1
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@mxdigi.com,10,10
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@medialand.tw,5,5
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@pilotpr.com.tw,3,3
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@ky-post.com,2,2
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@meshplus.com.tw,2,2
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@hakuhodotm.com.tw,1,1
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@mdcg.tw,1,1
2025,2025-06-13,6/13 (五) 場次二 15:30 土地精靈音樂會｜夏之象 ,ENDED,@msa.hinet.net,1,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@medialand.tw,8,8
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@hakuhodotm.com.tw,5,5
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@ua.com.tw,4,4
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@mxdigi.com,3,3
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@unismart.com.tw,3,3
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@dvibemedia.com,1,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@grandpr.com.tw,1,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@meshplus.com.tw,1,1
2025,2025-06-27,6/27 (五) 初階身心必修課｜陳德中的正念生活道場,ENDED,@pilotpr.com.tw,1,1
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@medialand.tw,7,7
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@mxdigi.com,4,4
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@hakuhodotm.com.tw,3,3
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@2008-media.com,2,2
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@ky-post.com,2,2
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@ua.com.tw,2,2
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@unismart.com.tw,2,2
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@dvibemedia.com,1,1
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@gmail.com,1,1
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@grandpr.com.tw,1,1
2025,2025-07-18,7/18 (五) 進階情緒關係課｜陳德中的正念生活道場,ENDED,@pilotpr.com.tw,1,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@gmail.com,10,10
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@medialand.tw,8,8
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@ua.com.tw,6,6
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@mxdigi.com,5,5
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@pilotpr.com.tw,5,5
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@unismart.com.tw,5,5
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@hakuhodotm.com.tw,3,3
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@ky-post.com,3,3
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@accuhit.net,2,2
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@meshplus.com.tw,2,2
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@2008-media.com,1,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@dvibemedia.com,1,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@gapps.ntnu.edu.tw,1,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@grandpr.com.tw,1,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@hakuhodoti.com.tw,1,1
2025,2025-07-25,7/25 (五) 喚覺躺躺｜夏日聲波花園,ENDED,@planetpr.com.tw,1,1
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@medialand.tw,6,6
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@mxdigi.com,5,5
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@grandpr.com.tw,4,4
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@unismart.com.tw,3,3
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@hakuhodotm.com.tw,2,2
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@ky-post.com,2,2
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@meshplus.com.tw,2,2
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@ua.com.tw,2,2
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@gmail.com,1,1
2025,2025-08-29,8/29 (五) 風土味蕾小宇宙 ｜夏之象——餐桌上的土地漫遊,ENDED,@pilotpr.com.tw,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@medialand.tw,7,7
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@mxdigi.com,4,4
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@meshplus.com.tw,3,3
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@planetpr.com.tw,3,3
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@2008-media.com,2,2
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@hakuhodotm.com.tw,2,2
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@ua.com.tw,2,2
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@ace-taipei.com,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@ky-post.com,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@medialand.com,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@pilotpr.com.tw,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unisincere.com,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unisincere.com.tw,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unismart.com.tw,1,1
2025,2025-09-05,9/5 (五) 風土味蕾小宇宙｜夏之象——餐桌上的土地漫遊,ENDED,@unisurf.com.tw,1,1
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@ky-post.com,5,5
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@medialand.tw,4,4
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@ua.com.tw,3,3
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@mxdigi.com,2,2
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@pilotpr.com.tw,2,2
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@gmail.com,1,1
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@grandpr.com.tw,1,1
2025,2025-10-03,10/3（五）水之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@planetpr.com.tw,1,1
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@ua.com.tw,7,7
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@unismart.com.tw,5,5
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@hakuhodotm.com.tw,4,4
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@meshplus.com.tw,4,4
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@ky-post.com,2,2
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@pilotpr.com.tw,2,2
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@charismomo.com,1,1
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@grandpr.com.tw,1,1
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@medialand.tw,1,1
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@mxdigi.com,1,1
2025,2025-10-09,10/9（四）森之旅｜大自然的離線之旅｜秋之象 森林療癒 ,ENDED,@planetpr.com.tw,1,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@ua.com.tw,10,10
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@meshplus.com.tw,7,7
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@mxdigi.com,7,7
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@medialand.tw,6,6
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@gmail.com,2,2
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@hakuhodotm.com.tw,2,2
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@ky-post.com,2,2
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@pilotpr.com.tw,2,2
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@prestigepr.com.tw,2,2
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@bioproweb.com,2,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@divibemedia.com,1,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@ffceap.com.tw,1,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@planetpr.com.tw,1,1
2025,2025-11-07,11/7 (五) 聲音╳書寫・療癒實驗室,ENDED,@unismart.com.tw,1,1
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@medialand.tw,5,5
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@gmail.com,3,3
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@mxdigi.com,3,3
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@unismart.com.tw,2,2
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@meshplus.com.tw,1,1
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@pilotpr.com.tw,1,1
2025,2025-11-21,11/21(五)  上午10:00 ｜ RESET！讓內耗退場的動力發光術,ENDED,@ua.com.tw,1,1
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@ua.com.tw,6,6
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@hakuhodotm.com.tw,4,4
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@medialand.tw,4,4
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@mxdigi.com,3,3
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@prestigepr.com.tw,2,2
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@unismart.com.tw,2,2
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@ky-post.com,1,1
2025,2025-11-21,11/21(五)  下午14:30 ｜ RESET！讓內耗退場的動力發光術 ,ENDED,@unisurf.com.tw,1,1
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@hakuhodotm.com.tw,7,7
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@medialand.tw,6,6
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@mxdigi.com,5,5
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@ua.com.tw,5,5
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@ky-post.com,3,3
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@unismart.com.tw,3,3
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@2008-media.com,2,2
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@gmail.com,2,2
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@unisincere.com.tw,2,2
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@jointoenjoy.com,1,1
2025,2025-12-26,12/26 (五) 呼吸清理・找回身體的原廠設定,ENDED,@meshplus.com.tw,1,1
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@hakuhodotm.com.tw,9,9
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@interplan.com.tw,3,3
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@medialand.tw,3,3
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@pilotpr.com.tw,2,2
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@hakuhodoti.com.tw,1,1
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@jointoenjoy.com,1,1
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@kecc.com.tw,1,1
2025,2025-12-19,12/19(五)  練息場HR特邀場｜森之聖誕・微醺療癒,ENDED,@messetaoyuan.com,1,1
