年度,日期,活動名稱,場次狀態,email網域,報名人次,報名人數
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@ace-taipei.com,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@dvibemedia.com,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@gmail.com,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@mxdigi.com,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@pilotpr.com.tw,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@planetpr.com.tw,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@ua.com,1,1
2026,2026-04-17,4/17(五)漫步在樹梢｜一場離地向上的自由練習,ENDED,@unisurf.com.tw,1,1
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@gmail.com,16,16
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@mxdigi.com,4,4
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@meshplus.com.tw,3,3
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@medialand.tw,3,2
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@ace-taipei.com,1,1
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@hakuhodotm.com.tw,1,1
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@hotmail.com,1,1
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@msn.com,1,1
2026,2026-05-22,5/22 (五) 啟動身體原廠設定！｜翻開吳清忠的自癒寶典,ENDED,@yahoo.com.tw,1,1
2026,2026-06-04,6/4（四）《鬆鬆在・小滿茶席》  回到身體的三道茶,ENDED,@medialand.tw,1,1
2026,2026-06-05,6/5（五）《鬆鬆在・小滿茶席》  回到身體的三道茶,ENDED,@jointoenjoy.com,1,1
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@ua.com.tw,13,13
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@medialand.tw,6,6
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@2008-media.com,3,3
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@hakuhodotm.com.tw,2,2
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@mxdigi.com,2,2
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@pilotpr.com.tw,2,2
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@grandpr.com.tw,1,1
2026,2026-07-31,7/31（五）《聲波共振！開出你專屬的魔法結界》,UPCOMING,@prestigepr.com.tw,1,1
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@hakuhodotm.com.tw,10,10
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@medialand.tw,9,9
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@meshplus.com.tw,7,7
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@ua.com.tw,7,7
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@ky-post.com,5,5
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@unisurf.com.tw,5,5
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@pilotpr.com.tw,4,4
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@ace-taipei.com,2,2
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@mxdigi.com,2,2
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@charismomo.com,1,1
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@dvibemedia.com,1,1
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@grandpr.com.tw,1,1
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@planetpr.com.tw,1,1
2026,2026-07-17,7/17（五）《就是你了！來養顆苔球小精靈吧》,ENDED,@unistyle.com.tw,1,1
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@meshplus.com.tw,10,10
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@medialand.tw,9,9
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@ua.com.tw,8,8
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@mxdigi.com,5,5
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@hakuhodotm.com.tw,4,4
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@unisurf.com.tw,4,4
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@ky-post.com,2,2
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@unismart.com.tw,2,2
2026,2026-07-31,7/31（五）《就是你了！來養顆苔球小精靈吧》,UPCOMING,@pilotpr.com.tw,1,1
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@medialand.tw,6,6
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@meshplus.com.tw,6,6
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@ua.com.tw,4,4
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@hakuhodotm.com.tw,2,2
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@ky-post.com,2,2
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@mxdigi.com,2,2
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@ace-taipei.com,1,1
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@charismomo.com,1,1
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@medialnad.tw,1,1
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@mediand.tw,1,1
2026,2026-07-30,7/30（四）《就是你了！來養顆苔球小精靈吧》 加場！,UPCOMING,@mxdogi.com,1,1
